Data1
.22
4.24
4.26
4.25
4.24
4.25
4.26
4.24
4.25
4.25
4.25
4.25
4.26
4.25
4.25
4.25
4.24
4.25
4.25
4.26
4.27
4.26
4.24
4.29
4.25
4.27
4.30
4.25
4.26
4.19
4.24
4.22
4.25
4.25
4.20
4.24
4.24
4.24
4.24
4.22
4.22
4.21
4.24
4.24
4.18
4.16
4.15
4.16
4.15
4.14
4.16
4.11
4.16
4.15
4.16
4.15
4.15
4.16
4.16
4.15
4.18
4.20
4.15
4.14
4.15
4.16
4.15
4.15
4.15
4.14
4.15
4.15
4.16
4.15
4.15
4.15
4.15
4.16
4.09
4.14
4.16
4.16
4.16
4.16
4.16
4.16
4.16
4.16
4.16
4.25
4.18
4.15
4.16
4.14
4.16
4.15
4.15
4.14
4.16
4.16
4.14
4.15
4.15
4.15
4.16
4.20
4.15
4.14
4.15
4.15
4.15
4.16
4.18
4.18
4.14
4.15
4.18
4.15
4.14
4.16
4.19
4.15
4.14
4.14
4.13
4.16
4.14
4.16
4.16
4.15
4.15
4.15
4.15
4.16
4.15
4.14
4.15
4.16
4.14
4.15
4.15
4.15
4.16
4.14
4.15
4.16
4.14
4.13
4.14
4.15
4.15
4.15
4.15
4.15
4.14
4.15
4.15
4.14
4.15
4.14
4.13
4.14
4.14
4.19
4.15
4.14
4.14
4.15
4.14
4.15
4.18
4.15
4.20
4.15
4.15
4.15
4.16
4.18
4.14
4.14
4.14
4.04
4.14
4.13
4.15
4.15
4.14
4.14
4.13
4.14
4.14
4.16
4.13
4.11
4.21
4.14
4.15
4.14
4.14
4.13
4.14
4.14
4.13
4.14
4.13
4.14
4.13
4.15
4.08
4.13
4.15
4.14
4.15
4.14
4.14
4.18
4.18
4.13
4.13
4.13
4.14
4.14
4.13
4.14
4.14
4.15
4.15
4.16
4.14
4.14
4.14
4.13
4.11
4.14
4.14
4.14
4.16
4.14
4.16
4.15
4.11
4.14
4.14
4.13
4.14
4.14
4.13
4.14
4.15
4.13
4.14
4.13
4.14
4.14
4.13
4.13
4.16
4.14
4.09
4.14
4.14
4.15
4.14
4.13
4.13
4.14
4.14
4.15
4.14
4.13
4.13
4.13
4.11
4.13
4.14
4.13
4.11
4.11
4.18
4.14
4.13
4.10
4.11
4.13
4.13
4.13
4.14
4.13
4.14
4.13
4.13
4.13
4.11
4.13
4.14
4.20
4.14
4.13
4.13
4.14
4.13
4.13
4.19
4.14
4.14
4.13
4.14
4.13
4.14
4.14
4.13
4.13
4.13
4.10
4.14
4.14
4.13
4.14
4.14
4.11
4.13
4.13
4.13
4.13
4.14
4.14
4.15
4.11
4.13
4.13
4.15
4.14
4.13
4.14
4.13
4.14
4.13
4.13
4.11
4.14
4.13
4.11
4.14
4.14
4.13
4.11
4.16
4.09
4.13
4.13
4.13
4.13
4.14
4.13
4.14
4.16
4.14
4.13
4.14
4.13
4.15
4.14
4.13
4.13
4.13
4.13
4.13
4.13
4.11
4.13
4.14
4.14
4.16
4.14
4.14
4.13
4.13
4.14
4.14
4.13
4.13
4.14
4.13
4.14
4.11
4.15
4.13
4.13
4.13
4.13
4.13
4.13
4.14
4.14
4.13
4.13
4.13
4.14
4.11
4.15
4.19
4.14
4.18
4.13
4.13
4.13
4.11
4.13
4.13
4.11
4.13
4.15
4.14
4.13
4.11
4.15
4.13
4.14
4.13
4.13
4.13
4.11
4.14
4.11
4.13
4.13
4.09
4.13
4.14
4.13
4.15
4.14
4.13
4.13
4.11
4.14
4.13
4.13
4.13
4.13
4.13
4.11
4.11
4.13
4.13
4.13
4.11
4.11
4.15
4.14
4.11
4.13
4.13
4.13
4.11
4.13
4.11
4.13
4.14
4.11
4.14
4.14
4.11
4.13
4.14
4.14
4.13
4.13
4.11
4.13
4.11
4.13
4.13
4.13
4.13
4.13
4.13
4.13
4.13
4.10
4.11
4.14
4.13
4.13
4.13
4.10
4.13
4.13
4.13
4.13
4.13
4.13
4.11
4.11
4.13
4.14
4.13
4.13
4.13
4.13
4.13
4.11
4.13
4.13
4.14
4.11
4.13
4.13
4.13
4.13
4.13
4.11
4.13
4.13
4.13
4.13
4.13
4.13
4.15
4.11
4.13
4.13
4.13
4.09
4.13
4.11
4.13
4.13
4.13
4.13
4.11
4.11
4.11
4.11
4.13
4.13
4.13
4.13
4.13
4.14
4.13
4.11
4.13
4.11
4.14
4.13
4.04
4.14
4.13
4.13
4.11
4.13
4.14
4.13
4.18
4.14
4.14
4.13
4.18
4.13
4.13
4.13
4.13
4.13
4.11
4.13
4.13
4.11
4.11
4.11
4.11
4.14
4.11
4.11
4.13
4.11
4.11
4.13
4.11
4.14
4.13
4.13
4.13
4.11
4.11
4.13
4.14
4.13
4.11
4.11
4.11
4.16
4.11
4.13
4.13
4.13
4.11
4.13
4.13
4.08
4.07
4.11
4.16
4.13
4.11
4.13
4.13
4.11
4.13
4.13
4.14
4.11
4.13
4.14
4.13
4.11
4.13
4.13
4.13
4.11
4.14
4.13
4.13
4.11
4.15
4.13
4.13
4.13
4.13
4.13
4.13
4.13
4.11
4.13
4.11
4.11
4.13
4.13
4.11
4.13
4.08
4.14
4.13
4.11
4.11
4.13
4.13
4.13
4.13
4.11
4.13
4.14
4.13
4.11
4.13
4.14
4.11
4.13
4.10
4.13
4.13
4.11
4.10
4.11
4.11
4.11
4.08
4.11
4.13
4.13
4.13
4.13
4.15
4.13
4.13
4.13
4.11
4.11
4.11
4.11
4.14
4.11
4.14
4.15
4.11
4.13
4.11
4.10
4.13
4.13
4.14
4.15
4.11
4.11
4.14
4.13
4.13
4.05
4.11
4.11
4.11
4.13
4.13
4.11
4.13
4.09
4.11
4.11
4.11
4.11
4.18
4.11
4.10
4.13
4.11
4.11
4.13
4.13
4.14
4.11
4.11
4.11
4.11
4.08
4.11
4.11
4.11
4.11
4.14
4.13
4.13
4.13
4.13
4.13
4.13
4.13
4.13
4.11
4.13
4.09
4.13
4.13
